,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
32,empreendedores,0.005563263941714322,0.008187117292286812,6.298191820238625e-05,9.814931345608497e-06,6.302011080240538e-05,9.814931345608497e-06,0.0,0.0
98,visitantes,0.005741857656218844,0.007146810674215661,-2.2600368936068674e-05,-3.007774400391677e-05,0.0001002915092354519,3.007774400391677e-05,0.0,0.0
82,sodré,0.005970693279444327,0.002928667658176535,0.0,0.0,0.0,0.0,0.0,0.0
29,doenças,0.006360270360001523,0.006183017623312177,3.171786539091327e-05,-0.004342888916188773,3.18202726826025e-05,0.004369968892950188,0.0,0.00011816509376050277
44,folha,0.0065039614154422795,0.00972489462263378,0.0009569806369614915,0.00023910205354290214,0.0013020095028606364,0.0004288874820373137,0.0,0.0
56,internet,0.006651810797848594,0.010363112943767275,0.000338107511802402,-0.0002415736751332092,0.0003387579931836505,0.00024160643155938575,0.0,0.0
40,estudantes,0.006942147091240542,0.013073782937663769,0.000252412932823264,-0.0001742127452632387,0.000253246494819254,0.00017428331503701412,0.0,0.0
28,doença,0.007992084658083579,0.009818233834419111,0.00013388180758892935,-5.320028807463637e-05,0.00015091617867048554,5.320028807463637e-05,0.0,0.0
95,vestibular,0.00866698889757443,0.013643633930940502,4.158070558327303e-05,-1.3861128995324869e-06,4.158070558327303e-05,1.3861128995324869e-06,0.0,0.0
43,feira,0.008699045690734365,0.010096890801025622,0.00039728021107877974,0.0015493390080662357,0.0004064790934269243,0.0027683299209415595,0.0,3.1267979911858874e-05
52,hotel,0.00881488301343464,0.010894236541960796,7.152816293954671e-05,-0.0019672493832755536,7.416706400474836e-05,0.001992884760820965,0.0,0.00013991791368216447
71,pesquisadores,0.009703009470250096,0.007964485421396677,-0.0006006461136540332,1.5485343437672054e-05,0.0006006461136540332,1.5485343437672054e-05,0.0,0.0
66,pacientes,0.00983201166412959,0.009895096165169131,8.494547558341298e-05,-0.00043572885465315486,8.494547558341298e-05,0.0015986130521481745,0.0,7.020606972799655e-05
96,viagem,0.010209836553174216,0.007569303038389796,0.00015768908554570773,-0.004151982477519953,0.00015768908554570773,0.004151982477519953,0.0,0.0002768120507616557
50,google,0.01131099736136334,0.01777955459467579,0.00015112276207085746,-0.001025869776372658,0.0001602699513806561,0.0012077440389264415,0.0,5.56234883634394e-05
39,espacial,0.012148171815812353,0.010956341182181435,-0.0007481835533002301,0.018300563282171178,0.0007481835533002301,0.019235840217571167,0.0,0.007693933270386985
73,professores,0.013777112487833013,0.016199050511349955,0.0003663184521569917,-4.435141293828154e-05,0.0003663184521569917,5.207241712086162e-05,0.0,0.0
2,alunos,0.014056209071935426,0.016800995565004247,0.00037109508448339185,-0.0001374914888093379,0.0003717254236593327,0.0003044111664863386,0.0,0.0
81,social,0.01430929517257017,0.016232539842691542,0.0004340025792211965,-0.0016186895673298033,0.0005095487249895579,0.0023627077272676557,0.0,0.00020187865404943945
35,empresa,0.014879557880018376,0.0134640431027704,0.0005629149074288587,-0.0004386596492946877,0.0005674093387284072,0.00048025547822318524,0.0,0.0
70,paulo,0.016583143020775355,0.010661015063278219,0.0010900987383337343,-0.00018382136441579778,0.001187090862947777,0.0008182813583522485,0.0,2.3753519387818833e-05
6,apple,0.01873671792832266,0.018975095719770962,3.433890140795639e-05,-0.0034837756045907288,7.982682027757003e-05,0.0034897486978877857,0.0,0.00015650844039013893
30,educação,0.020590651740943457,0.018129500534209607,0.000535057539396033,-0.0039054987002952383,0.0009259093338433531,0.004400673468603823,0.0,0.00030360350879110316
11,chef,0.02073956150045061,0.010691845676092318,2.2176294573574062e-05,-9.076377639067756e-05,4.6340927421695416e-05,9.612644233009031e-05,0.0,0.0
79,saúde,0.023999612203253633,0.013928405460799164,0.0010043719523398931,-0.0017245910744218733,0.0011465220179718036,0.003364832986590761,0.0,0.0001137008946603419
14,cientistas,0.024084837485631276,0.00945697249139248,-0.000370926120041563,0.07966357396994364,0.000370926120041563,0.0803847205371118,0.0,0.04260364125457411
17,colaboração,0.024858837405978818,0.0041819128522225775,0.0001305839742321949,-0.00024174148732914155,0.00013183022973066238,0.00024478315849891315,0.0,0.0
88,turismo,0.027054039559135157,0.010187513768579154,3.885905004086812e-05,-0.015419378734789218,3.898808884511817e-05,0.016262242176703825,0.0,0.0015939182332558987
31,empreendedor,0.02855591863643416,0.01162151436685622,0.00014181653615067031,0.000196446347734531,0.00014181653615067031,0.0002580035012699258,0.0,0.0
90,turistas,0.042844549574189136,0.009480486772511619,0.0003510756116588617,0.0003123392474167614,0.0003518654461566652,0.000554769878041872,0.0,0.0
94,usuários,0.042949104359687365,0.015303174906668002,0.00046649175226476375,-0.0069849367454519595,0.00046649175226476375,0.006989545249529738,0.0,0.0003596494780532221
38,ensino,0.09744626198683663,0.018644919930657953,0.0005695015662289043,-0.0033233508621240125,0.0005811468779438571,0.003425516196554235,0.0,0.00021806831991806434
